i: 1, i^2: 1
i: 2, i^2: 4
i: 3, i^2: 9
i: 4, i^2: 16
i: 5, i^2: 25
i: 6, i^2: 36
i: 7, i^2: 49
i: 8, i^2: 64
i: 9, i^2: 81
i: 10, i^2: 100
i: 11, i^2: 121
i: 12, i^2: 144
i: 13, i^2: 169
i: 14, i^2: 196
i: 15, i^2: 225
i: 16, i^2: 256
i: 17, i^2: 289
i: 18, i^2: 324
i: 19, i^2: 361
i: 20, i^2: 400
i: 21, i^2: 441
i: 22, i^2: 484
i: 23, i^2: 529
i: 24, i^2: 576
i: 25, i^2: 625
i: 26, i^2: 676
i: 27, i^2: 729
i: 28, i^2: 784
i: 29, i^2: 841
i: 30, i^2: 900
i: 31, i^2: 961
i: 32, i^2: 1024
i: 33, i^2: 1089
i: 34, i^2: 1156
i: 35, i^2: 1225
i: 36, i^2: 1296
i: 37, i^2: 1369
i: 38, i^2: 1444
i: 39, i^2: 1521
i: 40, i^2: 1600
i: 41, i^2: 1681
i: 42, i^2: 1764
i: 43, i^2: 1849
i: 44, i^2: 1936
i: 45, i^2: 2025
i: 46, i^2: 2116
i: 47, i^2: 2209
i: 48, i^2: 2304
i: 49, i^2: 2401
i: 50, i^2: 2500
i: 51, i^2: 2601
i: 52, i^2: 2704
i: 53, i^2: 2809
i: 54, i^2: 2916
i: 55, i^2: 3025
i: 56, i^2: 3136
i: 57, i^2: 3249
i: 58, i^2: 3364
i: 59, i^2: 3481
i: 60, i^2: 3600
i: 61, i^2: 3721
i: 62, i^2: 3844
i: 63, i^2: 3969
i: 64, i^2: 4096
i: 65, i^2: 4225
i: 66, i^2: 4356
i: 67, i^2: 4489
i: 68, i^2: 4624
i: 69, i^2: 4761
i: 70, i^2: 4900
i: 71, i^2: 5041
i: 72, i^2: 5184
i: 73, i^2: 5329
i: 74, i^2: 5476
i: 75, i^2: 5625
i: 76, i^2: 5776
i: 77, i^2: 5929
i: 78, i^2: 6084
i: 79, i^2: 6241
i: 80, i^2: 6400
i: 81, i^2: 6561
i: 82, i^2: 6724
i: 83, i^2: 6889
i: 84, i^2: 7056
i: 85, i^2: 7225
i: 86, i^2: 7396
i: 87, i^2: 7569
i: 88, i^2: 7744
i: 89, i^2: 7921
i: 90, i^2: 8100
i: 91, i^2: 8281
i: 92, i^2: 8464
i: 93, i^2: 8649
i: 94, i^2: 8836
i: 95, i^2: 9025
i: 96, i^2: 9216
i: 97, i^2: 9409
i: 98, i^2: 9604
i: 99, i^2: 9801
i: 100, i^2: 10000
